name|video|start|end|speaker|orth|translation
01June_2011_Wednesday_heute-944|01June_2011_Wednesday_heute-944/1/*.png|-1|-1|Signer01|LIEB ZUSCHAUER GUT ABEND|liebe zuschauer guten abend
01June_2010_Tuesday_heute-6617|01June_2010_Tuesday_heute-6617/1/*.png|-1|-1|Signer01|ENDLICH WIRKLICH SOMMER KOMMEN|da kommt endlich dann wirklich mal der sommer
01April_2010_Thursday_tagesschau-4323|01April_2010_Thursday_tagesschau-4323/1/*.png|-1|-1|Signer04|MORGEN UEBERWIEGEND FREUNDLICH IX SCHAUER|am tag ist es überwiegend freundlich und nur vereinzelt fallen schauer
01December_2011_Thursday_tagesschau-3478|01December_2011_Thursday_tagesschau-3478/1/*.png|-1|-1|Signer05|MONTAG OFT STARK WOLKE TEIL ORT REGEN|am montag ist es oft stark bewölkt gebietsweise regnet es kräftig
01May_2010_Saturday_tagesschau-7196|01May_2010_Saturday_tagesschau-7196/1/*.png|-1|-1|Signer05|DIENSTAG SUEDOST REGEN NORDWEST MEHR FREUNDLICH|am dienstag regnet es im südosten ab und an richtung nordwesten ist es recht freundlich
01June_2010_Tuesday_heute-6610|01June_2010_Tuesday_heute-6610/1/*.png|-1|-1|Signer01|MORGEN WEITER REGEN REGION BISSCHEN VERAENDERN|und morgen geht es weiter mit dem regen über der osthälfte ein bisschen verändert
01May_2010_Saturday_tagesschau-7191|01May_2010_Saturday_tagesschau-7191/1/*.png|-1|-1|Signer05|NORD SCHWACH MAESSIG NORD WEHEN SONST REGION SCHWACH WEHEN|der wind weht im norden schwach bis mäßig aus ost bis nordost sonst schwach aus unterschiedlichen richtungen
01April_2010_Thursday_tagesschau-4324|01April_2010_Thursday_tagesschau-4324/1/*.png|-1|-1|Signer04|ABEND WEST SUED BISSCHEN REGEN|gegen abend beginnt es dann im westen und südwesten hier und da zu regnen
01December_2011_Thursday_tagesschau-3476|01December_2011_Thursday_tagesschau-3476/1/*.png|-1|-1|Signer05|SAMSTAG WIEDER NEU REGEN KOMMEN WIND STURM|im laufe des samstags breiten sich neue regenfälle von nordwest nach südost aus dazu wird es sehr windig bis stürmisch
01December_2011_Thursday_tagesschau-3471|01December_2011_Thursday_tagesschau-3471/1/*.png|-1|-1|Signer05|MEISTENS WOLKE REGEN SUED KOMMEN|die dichten regenwolken verlagern sich südostwärts
01April_2010_Thursday_heute-6696|01April_2010_Thursday_heute-6696/1/*.png|-1|-1|Signer04|UEBERSCHWEMMUNG AMERIKA IX|schwere überschwemmungen in den usa
01June_2011_Wednesday_heute-945|01June_2011_Wednesday_heute-945/1/*.png|-1|-1|Signer01|HEUTE GERADE ERSTE SOMMER TAG FUER WIRKLICH WETTER FACH LEUTE GESTERN FRUEHLING ZU-ENDE VORBEI ENORM neg-ZU-WARM|heute der erste sommertag für die meteorologen aber das frühjahr das gestern zu ende ging war ja auch zu warm
01December_2011_Thursday_tagesschau-3477|01December_2011_Thursday_tagesschau-3477/1/*.png|-1|-1|Signer05|SONNTAG WECHSELHAFT AUCH TEIL STURM|am sonntag unbeständiges wetter dazu ist es teilweise stürmisch
01June_2010_Tuesday_heute-6618|01June_2010_Tuesday_heute-6618/1/*.png|-1|-1|Signer01|SCHOEN ABEND TSCHUESS|ich wünsche ihnen noch einen schönen abend
01June_2010_Tuesday_heute-6611|01June_2010_Tuesday_heute-6611/1/*.png|-1|-1|Signer01|NORD OST SEE MEHR TROCKEN|die nordsee dürfte die ostsee dürfte weitgehend trocken bleiben
01April_2010_Thursday_tagesschau-4325|01April_2010_Thursday_tagesschau-4325/1/*.png|-1|-1|Signer04|HIER WIND SCHWACH MAESSIG WEST NORD WIND|der wind weht schwach bis mäßig im westen und nordwesten teilweise auch frisch
01May_2010_Saturday_tagesschau-7190|01May_2010_Saturday_tagesschau-7190/1/*.png|-1|-1|Signer05|NORDOST FREUNDLICH SO|im nordosten ist es teilweise freundlich
01June_2010_Tuesday_heute-6616|01June_2010_Tuesday_heute-6616/1/*.png|-1|-1|Signer01|AB FREITAG REGION BESSER SONNE WARM|aber ab freitag sieht es deutlich besser aus und zwar für alle viel sonne und auch viel wärme
01December_2011_Thursday_tagesschau-3479|01December_2011_Thursday_tagesschau-3479/1/*.png|-1|-1|Signer05|WIND BLEIBEN|der wind hält an
01April_2010_Thursday_tagesschau-4322|01April_2010_Thursday_tagesschau-4322/1/*.png|-1|-1|Signer04|NORD REGEN|richtung nordsee fallen regenschauer
01February_2011_Tuesday_tagesschau-4967|01February_2011_Tuesday_tagesschau-4967/1/*.png|-1|-1|Signer08|SUED IX FREUNDLICH|im süden wird es unter leichtem hochdruckeinfluss dann auch wieder freundlicher
01December_2011_Thursday_heute-3055|01December_2011_Thursday_heute-3055/1/*.png|-1|-1|Signer05|DEZEMBER ANFANG REGEN HEUTE LEUTE NACH-HAUSE NACH-HAUSE NACH-HAUSE NACH-HAUSE DAS-IST-ES HEUTE VOR MITTAG W IX|kaum beginnt der dezember mit regen schon ist kaum jemand mehr auf den straßen wie zum beispiel in waren heute vormittag an der müritz
01June_2011_Wednesday_tagesschau-6948|01June_2011_Wednesday_tagesschau-6948/1/*.png|-1|-1|Signer01|WOLKE MORGEN WOLKE HIMMEL FREITAG GEWITTER|feuchte luft sorgt dort morgen wir wolken am freitag für gewitter
01November_2010_Monday_heute-1709|01November_2010_Monday_heute-1709/1/*.png|-1|-1|Signer05|VON KOMMEN REGEN NORD KOMMEN|auf jeden fall die nächste regenfront kommt aus westen wird morgen bereits über der nordsee und dann die nordseeküste erreichen
01December_2011_Thursday_heute-3064|01December_2011_Thursday_heute-3064/1/*.png|-1|-1|Signer05|REGION STURM NORDWEST WEHEN IX|insgesamt haben wir einen stürmischen südwest bis westwind dazu
01June_2011_Wednesday_tagesschau-6946|01June_2011_Wednesday_tagesschau-6946/1/*.png|-1|-1|Signer01|EUROPA MITTE LUFT DRUCK HOCH KOMMEN DEUTSCH LAND MEISTENS VIEL SONNE|hoher luftdruck über der mitte europas beschert weiten teilen deutschlands viel sonne
01July_2010_Thursday_tagesschau-8794|01July_2010_Thursday_tagesschau-8794/1/*.png|-1|-1|Signer08|NORD WIND SCHWACH SUEDOST SCHWACH|an der see weht der wind schwach bis mäßig sonst meist nur schwach
01February_2011_Tuesday_tagesschau-4969|01February_2011_Tuesday_tagesschau-4969/1/*.png|-1|-1|Signer08|AUCH MORGEN VIEL WOLKE SPEZIELL OST SUED SCHNEE UND REGEN GLATT|auch morgen viele wolken im osten und südosten noch leichter schneefall oder gefrierender regen
01December_2011_Thursday_heute-3063|01December_2011_Thursday_heute-3063/1/*.png|-1|-1|Signer05|OST BISSCHEN MEHR TROCKEN BIS WALD P+O+P PFALZ IX DANN REGION MILD IX SONNE|nach osten ist ein bisschen trockener und so vom bodensee bis zum oberpfälzer wald bleibt es wahrscheinlich auch trocken es gibt sonnige abschnitte
01November_2010_Monday_heute-1707|01November_2010_Monday_heute-1707/1/*.png|-1|-1|Signer05|FLUSS IX FREUNDLICH|heut war es im rhein main gebiet noch mal freundlich
01July_2010_Thursday_tagesschau-8793|01July_2010_Thursday_tagesschau-8793/1/*.png|-1|-1|Signer08|SCHWARZ WALD ALPEN KOENNEN GEWITTER GRUND HEISS|über dem schwarzwald an den alpen und ganz im westen einzelne kräftige hitzegewitter
01April_2011_Friday_tagesschau-3384|01April_2011_Friday_tagesschau-3384/1/*.png|-1|-1|Signer08|RUEGEN MORGEN VIERZEHN GRAD FLUSS SOMMER FUENF ZWANZIG BIS SECHS ZWANZIG GRAD|auf rügen morgen vierzehn entlang des rheins sommerliche fünfundzwanzig bis sechsundzwanzig grad
01June_2010_Tuesday_tagesschau-5005|01June_2010_Tuesday_tagesschau-5005/1/*.png|-1|-1|Signer01|GLEICH ZEIT WEST KOMMEN HOCH KOMMEN|gleichzeitig setzt sich von westen allmählich hoher luftdruck durch
01April_2011_Friday_tagesschau-3383|01April_2011_Friday_tagesschau-3383/1/*.png|-1|-1|Signer08|BERG ALLGAEU HEUTE ABEND VIER GRAD FLUSS ELF GRAD|im allgäu heute nacht kühle vier an der spree bis elf grad
01February_2011_Tuesday_heute-4630|01February_2011_Tuesday_heute-4630/1/*.png|-1|-1|Signer08|HEUTE NEBEL HOCH NEBEL ZWISCHEN RUHIG WETTER ZEIT VORBEI|heute noch zwischen nebel und hochnebel aber diese ruhige wetterzeit geht zu ende
01April_2010_Thursday_heute-6710|01April_2010_Thursday_heute-6710/1/*.png|-1|-1|Signer04|SCHNEE DABEI|da auch wieder mit schnee vermischt
01February_2011_Tuesday_heute-4639|01February_2011_Tuesday_heute-4639/1/*.png|-1|-1|Signer08|NORDWEST TROCKEN TRUEB NORDWEST DANN WIEDER REGEN KOMMEN|sonst eher trocken trübe und im nordwesten kommt dann der nächste regen an
01April_2011_Friday_tagesschau-3379|01April_2011_Friday_tagesschau-3379/1/*.png|-1|-1|Signer08|REGION KOENNEN NEBEL|in den niederungen bildet sich hier und da nebel
01December_2011_Thursday_heute-3062|01December_2011_Thursday_heute-3062/1/*.png|-1|-1|Signer05|TAG AUCH REGEN NORDWEST REGION SPAETER SUEDWEST AUCH|und wir haben auch tagsüber regen den vor allem die erstmal im nordwesten und an den küsten später auch im südwesten
01July_2010_Thursday_tagesschau-8792|01July_2010_Thursday_tagesschau-8792/1/*.png|-1|-1|Signer08|TAG VIEL SONNE IX WOLKE|am tag überall viel sonne ab und an ein paar wolken
01November_2010_Monday_heute-1706|01November_2010_Monday_heute-1706/1/*.png|-1|-1|Signer05|GOLD OKTOBER JETZT UMWANDELN GRAU NOVEMBER|aus einem goldenen oktober wird jetzt doch eher ein grauer november
01June_2011_Wednesday_tagesschau-6947|01June_2011_Wednesday_tagesschau-6947/1/*.png|-1|-1|Signer01|NUR SUED|ausnahme ist süddeutschland
01December_2011_Thursday_heute-3065|01December_2011_Thursday_heute-3065/1/*.png|-1|-1|Signer05|IN-KOMMEND IN-KOMMEND|und in den nächsten tagen naja
01February_2011_Tuesday_tagesschau-4968|01February_2011_Tuesday_tagesschau-4968/1/*.png|-1|-1|Signer08|KOMMEN HEUTE NACHT KOMMEN SCHNEE REGEN GLATT KOENNEN GLATT GEFAHR KOENNEN UNWETTER WARNUNG|von nordwesten breiten sich heute nacht schnee und gefrierender regen aus dabei wird es gefährlich glatt es bestehende entsprechende unwetterwarnungen des deutschen wetterdienstes
01November_2010_Monday_heute-1708|01November_2010_Monday_heute-1708/1/*.png|-1|-1|Signer05|DAS-IST-ES ZEIGEN-BILDSCHIRM ICH UNTEN ICH STEHEN|das ist unser studio überigens da unten stehe ich jetzt zur zeit drin
01December_2011_Thursday_heute-3054|01December_2011_Thursday_heute-3054/1/*.png|-1|-1|Signer05|ABEND LIEB ZUSCHAUER poss-EUCH|guten abend liebe zuschauer
01February_2011_Tuesday_tagesschau-4966|01February_2011_Tuesday_tagesschau-4966/1/*.png|-1|-1|Signer08|DAZU KOMMEN MILD DARUM AB FREITAG SCHNEE NICHT-MEHR|da auch mildere luft heranfließt ist schnee ab freitag kein thema mehr
01August_2011_Monday_heute-4872|01August_2011_Monday_heute-4872/1/*.png|-1|-1|Signer07|IHR SCHOEN ABEND MACHEN GUT|ihnen einen schönen abend und machen sie es gut
01June_2011_Wednesday_tagesschau-6949|01June_2011_Wednesday_tagesschau-6949/1/*.png|-1|-1|Signer01|WOCHENENDE IX KOMMEN RISIKO MEHR GEWITTER|am wochenende breitet sie sich weiter nach norden aus und das gewitterrisiko steigt verbreitet an
01April_2011_Friday_tagesschau-3378|01April_2011_Friday_tagesschau-3378/1/*.png|-1|-1|Signer08|KLAR IX|sonst klart es immer mehr auf
01February_2011_Tuesday_heute-4638|01February_2011_Tuesday_heute-4638/1/*.png|-1|-1|Signer08|OST KOENNEN SCHNEE IX ANFANG REGEN KOENNEN GLATT|richtung osten immer noch etwas schnee anfangs dann aber auch regen anfangs auch noch glättegefahr
01April_2010_Thursday_heute-6711|01April_2010_Thursday_heute-6711/1/*.png|-1|-1|Signer04|MONTAG SCHAUER KOMMEN|und am montag da ziehen sich die schauer richtung südosten zurück
01April_2011_Friday_tagesschau-3376|01April_2011_Friday_tagesschau-3376/1/*.png|-1|-1|Signer08|REGION TIEF SONNTAG KOMMEN REGEN UND GEWITTER|ein atlantischer tiefausläufer lenkt dann am sonntag von nordwesten schauer und gewitterwolken heran
01February_2011_Tuesday_heute-4631|01February_2011_Tuesday_heute-4631/1/*.png|-1|-1|Signer08|MITTE STURM TIEF KOMMEN LUFT MILD ABER REGEN|ein sturmtief bei island bringt uns mit einer milden südwestströmung eben sehr milde luft aber auch mal wieder regen
01June_2010_Tuesday_tagesschau-5004|01June_2010_Tuesday_tagesschau-5004/1/*.png|-1|-1|Signer01|BESONDERS DEUTSCH LAND SUED OST BIS-JETZT DONNERSTAG KOENNEN REGEN ENORM|davon betroffen ist auch der südosten deutschlands wo bis donnerstag unwetterartige regenmengen zusammenkommen können
01April_2011_Friday_tagesschau-3382|01April_2011_Friday_tagesschau-3382/1/*.png|-1|-1|Signer08|WIND SCHWACH MAESSIG NORD SEE IX KOENNEN FRISCH WEHEN|es weht ein schwacher bis mäßiger an der nordsee zeitweise frischer wind aus südlichen richtungen
01April_2011_Friday_tagesschau-3385|01April_2011_Friday_tagesschau-3385/1/*.png|-1|-1|Signer08|SONNTAG WEST NORDWEST WOLKE KOENNEN REGEN ODER GEWITTER KOENNEN|am sonntag im westen und nordwesten dichte wolken und mitunter kräftige schauer oder gewitter
01June_2010_Tuesday_tagesschau-5003|01June_2010_Tuesday_tagesschau-5003/1/*.png|-1|-1|Signer01|MITTE EUROPA TIEF KOMMEN REGEN|das tief über dem östlichen mitteleuropa sorgt dafür dass es ergiebig regnet
01April_2010_Thursday_heute-6702|01April_2010_Thursday_heute-6702/1/*.png|-1|-1|Signer04|MINUS TEIL MINUS FUENF ALPEN KUESTE NULL|verbreitet minusgrade zum teil bis minus fünf am alpenrand und selbst an der küste nahe null grad
01July_2009_Wednesday_tagesschau-4558|01July_2009_Wednesday_tagesschau-4558/1/*.png|-1|-1|Signer09|SCHWACH WEHEN|sonst meist schwacher wind aus nord bis nordost
01July_2009_Wednesday_tagesschau-4560|01July_2009_Wednesday_tagesschau-4560/1/*.png|-1|-1|Signer09|WENN IX WEHEN ANGENEHM DREI ZWANZIG GRAD SUEDOST MAXIMAL ZWEI DREISSIG|bei auflandigem wind an der ostsee morgen angenehme dreiundzwanzig grad im südwesten bis zweiunddreißig grad
01August_2011_Monday_heute-4850|01August_2011_Monday_heute-4850/1/*.png|-1|-1|Signer07|WEST SUEDWEST SCHON WETTER|im westen und süden konnte man das heute schon genießen
01June_2011_Wednesday_tagesschau-6954|01June_2011_Wednesday_tagesschau-6954/1/*.png|-1|-1|Signer01|HEUTE NACHT REGION DREIZEHN GRAD REGION DREI GRAD|heute nacht dreizehn grad in niederbayern und drei grad im emsland
01November_2010_Monday_heute-1715|01November_2010_Monday_heute-1715/1/*.png|-1|-1|Signer05|NEUN MAXIMAL MORGEN OST IX WEST NOCHEINMAL VIERZEHN GRAD MAXIMAL SCHLUSS|ja neun grad sind die höchsttemperaturen morgen im osten im westen geht es nochmal rauf auf vierzehn grad aber das war es
01August_2011_Monday_heute-4868|01August_2011_Monday_heute-4868/1/*.png|-1|-1|Signer07|BISSCHEN KUEHL MEISTENS NORD KUESTE BISSCHEN KUEHL IX|ein bisschen kühler bleibt es noch direkt an den küsten
01June_2011_Wednesday_tagesschau-6953|01June_2011_Wednesday_tagesschau-6953/1/*.png|-1|-1|Signer01|WIND WEHEN SCHWACH MAESSIG TEILWEISE REGION WEHEN|der wind weht schwach bis mäßig im südwesten frisch teilweise auch stark böig
01August_2011_Monday_heute-4857|01August_2011_Monday_heute-4857/1/*.png|-1|-1|Signer07|BISSCHEN NEBEL|wir haben ein paar nebelfelder
01July_2010_Thursday_tagesschau-8788|01July_2010_Thursday_tagesschau-8788/1/*.png|-1|-1|Signer08|WEST HOCH KOMMEN HEISS LUFT KOMMEN|an der westlichen seite des hochs über mitteleuropa strömt heiße luft zu uns
01August_2011_Monday_heute-4861|01August_2011_Monday_heute-4861/1/*.png|-1|-1|Signer07|SONNE MACHEN NEBEL VERSCHWINDEN|die sonne kommt bruzzelt diese nebelfelder weg
01August_2011_Monday_heute-4859|01August_2011_Monday_heute-4859/1/*.png|-1|-1|Signer07|AUCH VIELLEICHT BISSCHEN ABER NACHT ENORM MILD IX|dazu bleibt die nacht auch ziemlich mild
01February_2011_Tuesday_tagesschau-4972|01February_2011_Tuesday_tagesschau-4972/1/*.png|-1|-1|Signer08|OST SUED HEUTE NACHT FROST NORD EINS GRAD MINUS PLUS|im osten und süden heute nacht teilweise strenger frost in nordfriesland ein grad über null
01August_2011_Monday_heute-4866|01August_2011_Monday_heute-4866/1/*.png|-1|-1|Signer07|WARM SUEDWEST SCHON DREISSIG GRAD SCHON MEISTENS|im südwesten geht es ja schon mal rauf bis dreißig grad
01February_2011_Tuesday_heute-4640|01February_2011_Tuesday_heute-4640/1/*.png|-1|-1|Signer08|DONNERSTAG KOMMEN KOENNEN DAZU BERG KOENNEN SCHNEE GLATT|und der zieht richtung südosten am donnerstag anfangs auch noch mit schnee im bergland und glättegefahr
01July_2009_Wednesday_tagesschau-4561|01July_2009_Wednesday_tagesschau-4561/1/*.png|-1|-1|Signer09|FREITAG DASSELBE|am freitag wenig änderungen
01June_2010_Tuesday_tagesschau-5011|01June_2010_Tuesday_tagesschau-5011/1/*.png|-1|-1|Signer01|TAG ZWEI ZWANZIG REGION ZEHN ACHT REGEN|am tag zehn grad bei dauerregen und zweiundzwanzig grad am niederrhein
01July_2009_Wednesday_tagesschau-4559|01July_2009_Wednesday_tagesschau-4559/1/*.png|-1|-1|Signer09|HEUTE NACHT WARM VIERZEHN MAXIMAL NEUNZEHN ALPEN ZWOELF|heute nacht wieder laue vierzehn bis neunzehn grad am alpenrand zwölf grad
01July_2009_Wednesday_tagesschau-4557|01July_2009_Wednesday_tagesschau-4557/1/*.png|-1|-1|Signer09|DANN MOEGLICH WEHEN|dann sind auch sturmböen möglich
01April_2010_Thursday_heute-6703|01April_2010_Thursday_heute-6703/1/*.png|-1|-1|Signer04|MORGEN TEMPERATUR ACHT BIS DREIZEHN MAXIMAL DREIZEHN|morgen die temperaturspanne auch nur acht bis dreizehn grad höchsttemperatur
01August_2011_Monday_heute-4858|01August_2011_Monday_heute-4858/1/*.png|-1|-1|Signer07|MORGEN FRUEH BAYERN NIEDERSACHSEN REGION S REGION NORD KUESTE|morgen früh in bayern und in sachsen vielleicht auch an der nordseeküste
01February_2011_Tuesday_heute-4641|01February_2011_Tuesday_heute-4641/1/*.png|-1|-1|Signer08|DANACH MILD STURM IN-KOMMEND IN-KOMMEND|dann wird es aber mild und stürmisch in den nächsten tagen
01February_2011_Tuesday_tagesschau-4973|01February_2011_Tuesday_tagesschau-4973/1/*.png|-1|-1|Signer08|MORGEN FLUSS MINUS FUENF GRAD FLUSS PLUS FUENF GRAD|morgen an der donau minus fünf im emsland bis plus fünf grad
01August_2011_Monday_heute-4867|01August_2011_Monday_heute-4867/1/*.png|-1|-1|Signer07|REST VIER ZWANZIG GRAD BIS DREI ZWANZIG GRAD|sonst ist es meist vierundzwanzig bis achtundzwanzig
01November_2010_Monday_heute-1722|01November_2010_Monday_heute-1722/1/*.png|-1|-1|Signer05|DONNERSTAG DANN IM-VERLAUF BISSCHEN MILD|und am donnerstag ist es vorübergehend mal ein bisschen milder
01August_2011_Monday_heute-4860|01August_2011_Monday_heute-4860/1/*.png|-1|-1|Signer07|MORGEN NEBEL ACH neg-HABEN|und morgen ja der nebel spielt keine rolle
01July_2010_Thursday_tagesschau-8789|01July_2010_Thursday_tagesschau-8789/1/*.png|-1|-1|Signer08|SAMSTAG UNGEFAEHR SECHS DREISSIG GRAD HOCH KOMMEN|am samstag erreicht die hitze mit werten um sechsunddreißig grad ihren höhepunkt
01November_2010_Monday_heute-1714|01November_2010_Monday_heute-1714/1/*.png|-1|-1|Signer05|MORGEN IM-VERLAUF VIER ZWISCHEN NEUN GRAD|die temperaturen morgen früh meist zwischen vier und neun grad
01August_2011_Monday_heute-4856|01August_2011_Monday_heute-4856/1/*.png|-1|-1|Signer07|ABER HEUTE ABEND RUHIG|aber heute nacht ist ja alles ruhig
01July_2010_Thursday_tagesschau-8787|01July_2010_Thursday_tagesschau-8787/1/*.png|-1|-1|Signer08|JETZT WETTER MORGEN FREITAG ZWEITE JULI WIE-AUSSEHEN ZEIGEN-BILDSCHIRM|und nun die wettervorhersage für morgen freitag den zweiten juli
01August_2011_Monday_heute-4851|01August_2011_Monday_heute-4851/1/*.png|-1|-1|Signer07|BESONDERS BLAU HIMMEL WIE MAINZ ZEIGEN-BILDSCHIRM|diesen herrlich blauen himmel wie hier bei mainz
01June_2011_Wednesday_tagesschau-6955|01June_2011_Wednesday_tagesschau-6955/1/*.png|-1|-1|Signer01|NACHMITTAG ACHTZEHN NORD FUENF ZWANZIG REGION|am tag achtzehn grad an der see und fünfundzwanzig grad am main
01July_2011_Friday_tagesschau-2768|01July_2011_Friday_tagesschau-2768/1/*.png|-1|-1|Signer04|MEISTENS FREUNDLICH SUEDWEST|am freundlichsten ist es im südwesten
01July_2011_Friday_tagesschau-2757|01July_2011_Friday_tagesschau-2757/1/*.png|-1|-1|Signer04|JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG ZWEITE JULI|und nun die wettervorhersage für morgen samstag den zweiten juli
01May_2010_Saturday_tagesschau-7184|01May_2010_Saturday_tagesschau-7184/1/*.png|-1|-1|Signer05|JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG ZWEITE MAI|und nun die wettervorhersage für morgen sonntag den zweiten mai
01July_2011_Friday_tagesschau-2761|01July_2011_Friday_tagesschau-2761/1/*.png|-1|-1|Signer04|NACHT BISSCHEN SCHAUER GEWITTER ABER SPAETER AUFLOESEN|in der nacht noch einzelne schauer oder gewitter die meist abklingen
01July_2011_Friday_tagesschau-2759|01July_2011_Friday_tagesschau-2759/1/*.png|-1|-1|Signer04|NORD WEHEN KUEHL|von der nordsee strömt kühle luft ein
01June_2011_Wednesday_heute-951|01June_2011_Wednesday_heute-951/1/*.png|-1|-1|Signer01|REGEN neg-VIEL WARUM IX BERG REGEN|und es kommt im moment auch nicht viel regen nach denn der regen zieht sich immer mehr richtung alpenrand zurück
01July_2011_Friday_tagesschau-2758|01July_2011_Friday_tagesschau-2758/1/*.png|-1|-1|Signer04|TIEF KOMMEN BEDEUTEN MITTE EUROPA poss-BEI-UNS EINFLUSS|tiefer luftdruck beeinflusst die mitte europas und damit auch unser wetter
01July_2011_Friday_tagesschau-2767|01July_2011_Friday_tagesschau-2767/1/*.png|-1|-1|Signer04|SONNTAG VIEL WOLKE REGEN NORD BISSCHEN GEWITTER|am sonntag viele wolken hier und da regen im nordosten einzelne gewitter
01May_2010_Saturday_tagesschau-7185|01May_2010_Saturday_tagesschau-7185/1/*.png|-1|-1|Signer05|NORD MITTE EUROPA ENORM TIEF KOMMEN DEUTSCH LAND|tiefer luftdruck über nord und mitteleuropa bestimmt auch das wetter bei uns in deutschland
01July_2011_Friday_tagesschau-2760|01July_2011_Friday_tagesschau-2760/1/*.png|-1|-1|Signer04|TIEF VORBEI REGEN KOMMEN IX SONNTAG MEHR WARM|das tief lenkt regenwolken in den nordosten wo sich dann am sonntag wärmere luft durchsetzt
01July_2011_Friday_tagesschau-2769|01July_2011_Friday_tagesschau-2769/1/*.png|-1|-1|Signer04|MONTAG NORDOST VIEL WOLKE REGEN GEWITTER SUEDWEST MEHR FREUNDLICH|am montag in der nordosthälfte viele wolken regen und gewitter in der südwesthälfte ist es meist freundlich
01June_2011_Wednesday_heute-950|01June_2011_Wednesday_heute-950/1/*.png|-1|-1|Signer01|SCHAUEN HELL GELB IX TROCKEN NUR VIER PROZENT HAELFTE NORMAL REGEN WIEVIEL NUR VIER PROZENT VON NORMAL|und wir sehen hier dass diese ganzen hellgelben regionen dort war es viel zu trocken teilweise sind nur vier prozent des normalen wertes an regen gefallen überhaupt
01June_2010_Tuesday_heute-6613|01June_2010_Tuesday_heute-6613/1/*.png|-1|-1|Signer01|SUEDWEST BISSCHEN SCHAUER NORDWEST FREUNDLICH SONNE|im südwesten einige schauer und im gesamten nordwesten ganz freundlich
